Dataset,Total_Scored,Total_Passed,Correct_Passed,Accuracy
Apache,160,138,134,0.971
HPC,868,765,550,0.719
OpenSSH,272,231,229,0.991
Zookeeper,404,342,338,0.988
OpenStack,273,231,223,0.965
Linux,1644,1485,1352,0.91
Proxifier,112,111,111,1
HealthApp,521,371,349,0.941
Hadoop,1532,1315,1284,0.976
Spark,1757,1552,1446,0.932
BGL,1981,1810,1710,0.945
Mac,4590,4107,3693,0.899
HDFS,274,168,163,0.97
Thunderbird,8045,7284,6437,0.884
,,,,0.935
